ts,symbol,ltp,spread,imb,qi,cvd,quote_stab
2025-08-29T14:02:01.989662,NIFTY,24479.65,0.0,0.0,0.0,-6.0,1.0
2025-08-29T14:02:01.989662,BANKNIFTY,53737.05,0.0,0.0,0.0,0.0,1.0
2025-08-29T14:02:01.740993,MIDCPNIFTY,12500.95,0.0,0.0,0.0,3.0,1.0
2025-08-29T14:02:02.989846,NIFTY,24479.75,0.0,0.0,0.0,-6.0,1.0
2025-08-29T14:02:02.989846,BANKNIFTY,53734.3,0.0,0.0,0.0,-2.0,1.0
2025-08-29T14:02:02.989846,MIDCPNIFTY,12501.15,0.0,0.0,0.0,5.0,1.0
2025-08-29T14:02:03.989761,NIFTY,24481.05,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:02:03.989761,BANKNIFTY,53741.35,0.0,0.0,0.0,0.0,1.0
2025-08-29T14:02:03.989761,MIDCPNIFTY,12500.65,0.0,0.0,0.0,5.0,1.0
2025-08-29T14:02:04.989909,NIFTY,24480.05,0.0,0.0,0.0,-6.0,1.0
2025-08-29T14:02:04.989909,BANKNIFTY,53737.2,0.0,0.0,0.0,0.0,1.0
2025-08-29T14:02:04.989909,MIDCPNIFTY,12500.7,0.0,0.0,0.0,5.0,1.0
2025-08-29T14:02:05.739902,NIFTY,24480.05,0.0,0.0,0.0,-6.0,1.0
2025-08-29T14:02:05.990069,BANKNIFTY,53734.55,0.0,0.0,0.0,-1.0,1.0
2025-08-29T14:02:05.990069,MIDCPNIFTY,12502.45,0.0,0.0,0.0,7.0,1.0
2025-08-29T14:02:06.994980,NIFTY,24480.2,0.0,0.0,0.0,-6.0,1.0
2025-08-29T14:02:06.994980,BANKNIFTY,53733.65,0.0,0.0,0.0,-1.0,1.0
2025-08-29T14:02:06.994980,MIDCPNIFTY,12501.4,0.0,0.0,0.0,5.0,1.0
2025-08-29T14:02:07.990533,NIFTY,24480.7,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:02:07.990533,BANKNIFTY,53740.75,0.0,0.0,0.0,1.0,1.0
2025-08-29T14:02:07.990533,MIDCPNIFTY,12501.35,0.0,0.0,0.0,5.0,1.0
2025-08-29T14:02:08.740428,NIFTY,24480.45,0.0,0.0,0.0,-6.0,1.0
2025-08-29T14:02:08.990692,BANKNIFTY,53737.2,0.0,0.0,0.0,-1.0,1.0
2025-08-29T14:02:08.990692,MIDCPNIFTY,12501.9,0.0,0.0,0.0,7.0,1.0
2025-08-29T14:02:09.740286,NIFTY,24480.65,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:02:09.740286,BANKNIFTY,53736.45,0.0,0.0,0.0,-1.0,1.0
2025-08-29T14:02:09.990394,MIDCPNIFTY,12501.6,0.0,0.0,0.0,7.0,1.0
2025-08-29T14:02:10.990067,NIFTY,24480.4,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:02:10.740562,BANKNIFTY,53737.9,0.0,0.0,0.0,-1.0,1.0
2025-08-29T14:02:10.990067,MIDCPNIFTY,12501.55,0.0,0.0,0.0,7.0,1.0
2025-08-29T14:02:11.744876,NIFTY,24482.3,0.0,0.0,0.0,-2.0,1.0
2025-08-29T14:02:11.990911,BANKNIFTY,53742.1,0.0,0.0,0.0,-1.0,1.0
2025-08-29T14:02:11.990911,MIDCPNIFTY,12501.5,0.0,0.0,0.0,6.0,1.0
2025-08-29T14:02:12.740715,NIFTY,24480.6,0.0,0.0,0.0,-4.0,1.0
2025-08-29T14:02:12.740715,BANKNIFTY,53737.2,0.0,0.0,0.0,-3.0,1.0
